project,release,class,loc,churn,loc_added,fan_out,revisions,max_churn,max_loc_added,avg_churn,avg_loc_added,fan_in_total,loc_touched_total,revisions_density,ns,age,weighted_age,nauth,nfix,ndev,bug_density,fix,code_smells,buggy
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\Nimbus.java,10665,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1338,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\NotAliveException.java,251,0,0,3,0,0,0,0.0,0.0,1,0,0.0,1,7.73,0.0,1,0,1,0.0,0,27,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\NullStruct.java,163,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,23,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\RebalanceOptions.java,447,0,0,3,0,0,0,0.0,0.0,1,0,0.0,1,7.73,0.0,1,0,1,0.0,0,86,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\ShellComponent.java,331,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,46,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\SpoutSpec.java,339,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,42,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\SpoutStats.java,627,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,154,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\StateSpoutSpec.java,339,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,42,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\StormTopology.java,543,0,0,3,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,107,YES
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\StreamInfo.java,370,0,0,3,0,0,0,0.0,0.0,5,0,0.0,1,7.73,0.0,1,0,1,0.0,0,59,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\SubmitOptions.java,251,0,0,3,0,0,0,0.0,0.0,1,0,0.0,1,7.73,0.0,1,0,1,0.0,0,29,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\SupervisorSummary.java,584,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,103,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\TopologyInfo.java,776,0,0,3,0,0,0,0.0,0.0,1,0,0.0,1,7.73,0.0,1,0,1,0.0,0,138,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\TopologyInitialStatus.java,25,0,0,1,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\TopologySummary.java,751,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,133,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\grouping\CustomStreamGrouping.java,9,0,0,2,0,0,0,0.0,0.0,3,0,0.0,1,7.73,0.0,1,0,1,0.0,0,0,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\hooks\BaseTaskHook.java,35,0,0,7,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,8,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\hooks\ITaskHook.java,19,0,0,7,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,1,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\hooks\info\BoltAckInfo.java,12,0,0,1,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\hooks\info\BoltExecuteInfo.java,12,0,0,1,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\hooks\info\BoltFailInfo.java,12,0,0,1,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,3,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\hooks\info\EmitInfo.java,15,0,0,0,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,4,NO
